795736480	250943419	54909172	631170244	976520453	988883420	389648288	263944654	521308730	832820417
401902110	304696363	490270885	372263175	145025389	185377227	443691742	560469456	649973777	180492596
98619651	568270028	77593460	415235222	315741335	841015510	895568341	303521020	609234841	762182799
484614290	189677957	12799083	20874699	79238818	743752906	927739934	867129058	341422381	476164865
900063520	112850267	68647573	446881749	709452018	847142348	204319280	403440265	714770624	339583847
326749016	137303942	413419691	245604894	852414097	686058840	616711218	420301124	389896449	307111978
988400162	776791448	211968463	441005344	888255163	103645446	919019018	708937958	61155100	144223922
504476912	6146489	471502872	798870451	234778375	697978673	691693217	512876400	131860959	973307969
990893778	268761942	12753891	289338982	574302355	180235926	440996986	989267196	851984566	486507090
241245193	249715985	14969416	508579203	513182236	564983978	862784791	58052232	169286158	814752668
20722727	698276996	700887951	298082686	816565496	804320997	251509297	44723093	826272236	949595838
872098611	765945949	761297607	490253378	590037579	404938042	661008431	59011630	621310948	988042849
851063464	798198729	822445999	711059364	11634300	599603676	749278309	951661205	667175322	354343159
725834749	293055878	726006401	679640907	648630160	911185787	376717067	925094520	555992610	884167724
984611656	184462026	132153321	161142055	127375909	574818455	299610213	431903186	675524968	40962332
290479754	894964862	367683058	803079725	485066158	875700730	867294318	296463874	49959662	329107090
611570408	246475660	131935745	659995648	850463048	497780060	895669896	364259575	472999548	9051858
58343651	889675270	366425060	198578361	942078820	520274545	139672973	355303739	362599895	980668277
52895716	876036948	617611343	980299665	921694398	8027226	254205475	957890393	408747658	604408355
498674388	274710352	847014252	703980956	230823603	491876419	344600187	341894796	16018699	332381657
563878049	260612172	367951762	598668294	741808427	849190805	378267682	604201112	415314358	37077284
435510102	608410270	951985229	58215747	837244461	133625045	870256391	556009240	132330170	600534900
166879050	856479296	656270142	574950906	102457876	798865154	312405235	13009389	529571671	417581756
331038561	69904984	82900472	575350320	942383036	552411868	690525995	215467744	145347142	943738297
288557213	544677820	269640054	71471026	181490070	520536617	226553759	874108964	543483980	584641146
914806053	729552470	280016293	305425897	263312572	976961746	94000023	393577377	4217946	161796760
